City,Latitude,Longitude,Hotels,Places_to_visit
Balgudar,25.1993,86.0759,hotels/122.json,
Balicha,24.3443,74.2326,hotels/123.json,
Balurghat,25.2373,88.7831,hotels/124.json,
Balotra,25.8302,72.2456,hotels/125.json,
Banavasi,14.5333,75.0158,hotels/126.json,
Bandhavgarh National Park,23.688704,81.028676,hotels/127.json,
Tala,18.4388,73.1261,hotels/128.json,
Bandipur National Park,11.7788,76.4647,hotels/129.json,
Bandipur,11.6677,76.6326,hotels/130.json,
Bangaram,10.9417,72.2881,hotels/131.json,
Baneshwar,18.2556,73.8741,hotels/132.json,
Banjar,-7.3707,108.5342,hotels/133.json,
Bankura,23.2313,87.0784,hotels/134.json,
Bannari,11.5511,77.1392,hotels/135.json,
Banswara,23.5461,74.435,hotels/136.json,
Banni,25.4757,86.6057,hotels/137.json,
Bantwal,12.9012,75.0412,hotels/138.json,
Bapatla,15.9039,80.4671,hotels/139.json,
Baramati,18.1792,74.6078,hotels/140.json,
Barabanki,26.9268,81.1834,hotels/141.json,
Baramulla,34.199,74.3499,hotels/142.json,
Baran,25.1013,76.5119,hotels/143.json,
Barasat,22.7248,88.4789,hotels/144.json,
Baratang Island,12.2114,92.8112,hotels/145.json,
Barddhaman,23.2324,87.8615,hotels/146.json,
Bareilly,28.367,79.4304,hotels/147.json,
Bardoli,21.1255,73.1122,hotels/148.json,
Bargarh,21.347,83.632,hotels/149.json,
Baripada,21.932,86.7466,hotels/150.json,
Barmer,25.7521,71.3967,hotels/151.json,
Barog,30.8883,77.0766,hotels/152.json,
Barpeta,26.3304,91.0041,hotels/153.json,
Barrackpur,22.7661,88.3516,hotels/154.json,
Barua Sagar,25.3748,78.732,hotels/155.json,
Bastar,19.1071,81.9535,hotels/156.json,
Barwani,22.0363,74.9033,hotels/157.json,
Barshi,18.2334,75.6941,hotels/158.json,
Bassi,30.5887,76.8471,hotels/159.json,
Basti,26.814,82.763,hotels/160.json,
Bathinda,30.211,74.9455,hotels/161.json,
Batala,31.8195,75.2036,hotels/162.json,
Bataw,25.2283,92.2458,hotels/163.json,
Beed,18.9901,75.7531,hotels/164.json,
Bekal,12.4204,75.0231,hotels/165.json,
Begusarai,25.4182,86.1272,hotels/166.json,
Belakavadi,12.2551,77.1226,hotels/167.json,
Belgaum,15.8497,74.4977,hotels/168.json,
Bellary,15.1394,76.9214,hotels/169.json,
Belluru,13.1623,75.8679,hotels/170.json,
Belthangady,12.9887,75.2725,hotels/171.json,
Belur,13.1623,75.8679,hotels/172.json,
Bengaluru,12.9716,77.5946,hotels/173.json,
Bera,3.2705,102.4539,hotels/174.json,
Bhadrachalam,17.6705,80.8938,hotels/175.json,
Betul,21.9012,77.896,hotels/176.json,
Beypore,11.1736,75.804,hotels/177.json,
Bhabhua,25.0426,83.6056,hotels/178.json,
Bhadrak,21.0574,86.4963,hotels/179.json,
Bhagalpur,25.2372,86.9746,hotels/180.json,
