City,Latitude,Longitude,places
Tala,18.4388,73.1261,places_visit/128.json
Bandipur National Park,11.7788,76.4647,places_visit/129.json
Bandipur,11.6677,76.6326,places_visit/130.json
Bangaram,10.9417,72.2881,places_visit/131.json
Baneshwar,18.2556,73.8741,places_visit/132.json
Banjar,-7.3707,108.5342,places_visit/133.json
Bankura,23.2313,87.0784,places_visit/134.json
Bannari,11.5511,77.1392,places_visit/135.json
Banswara,23.5461,74.435,places_visit/136.json
Banni,25.4757,86.6057,places_visit/137.json
Bantwal,12.9012,75.0412,places_visit/138.json
Bapatla,15.9039,80.4671,places_visit/139.json
Baramati,18.1792,74.6078,places_visit/140.json
Barabanki,26.9268,81.1834,places_visit/141.json
Baramulla,34.199,74.3499,places_visit/142.json
Baran,25.1013,76.5119,places_visit/143.json
Barasat,22.7248,88.4789,places_visit/144.json
Baratang Island,12.2114,92.8112,places_visit/145.json
Barddhaman,23.2324,87.8615,places_visit/146.json
Bareilly,28.367,79.4304,places_visit/147.json
Bardoli,21.1255,73.1122,places_visit/148.json
Bargarh,21.347,83.632,places_visit/149.json
Baripada,21.932,86.7466,places_visit/150.json
Barmer,25.7521,71.3967,places_visit/151.json
Barog,30.8883,77.0766,places_visit/152.json
Barpeta,26.3304,91.0041,places_visit/153.json
Barrackpur,22.7661,88.3516,places_visit/154.json
Barua Sagar,25.3748,78.732,places_visit/155.json
Bastar,19.1071,81.9535,places_visit/156.json
Barwani,22.0363,74.9033,places_visit/157.json
Barshi,18.2334,75.6941,places_visit/158.json
Bassi,30.5887,76.8471,places_visit/159.json
Basti,26.814,82.763,places_visit/160.json
Bathinda,30.211,74.9455,places_visit/161.json
Batala,31.8195,75.2036,places_visit/162.json
Bataw,25.2283,92.2458,places_visit/163.json
Beed,18.9901,75.7531,places_visit/164.json
Bekal,12.4204,75.0231,places_visit/165.json
Begusarai,25.4182,86.1272,places_visit/166.json
Belakavadi,12.2551,77.1226,places_visit/167.json
Belgaum,15.8497,74.4977,places_visit/168.json
Bellary,15.1394,76.9214,places_visit/169.json
Belluru,13.1623,75.8679,places_visit/170.json
Belthangady,12.9887,75.2725,places_visit/171.json
Belur,13.1623,75.8679,places_visit/172.json
Bengaluru,12.9716,77.5946,places_visit/173.json
Bera,3.2705,102.4539,places_visit/174.json
Bhadrachalam,17.6705,80.8938,places_visit/175.json
Betul,21.9012,77.896,places_visit/176.json
Beypore,11.1736,75.804,places_visit/177.json
Bhabhua,25.0426,83.6056,places_visit/178.json
Bhadrak,21.0574,86.4963,places_visit/179.json
Bhagalpur,25.2372,86.9746,places_visit/180.json
Bhadravati,20.1003,79.1146,places_visit/181.json
Bhagsu Nag,32.2465,76.3326,places_visit/182.json
Bhagani,30.4924,77.7395,places_visit/183.json
Bhagdara,22.327,75.7255,places_visit/184.json
Bhandara,21.1777,79.657,places_visit/185.json
Bhalukpong,27.0137,92.6345,places_visit/186.json
Bhairapur,16.4384,76.5806,places_visit/187.json
Bhalki,18.0504,77.2184,places_visit/188.json
Bhandardara,19.5375,73.7695,places_visit/189.json
Bharatpur,27.2152,77.503,places_visit/190.json
Bharmour,32.4428,76.5329,places_visit/191.json
Bharuch,21.7051,72.9959,places_visit/192.json
Bhatkal,13.9993,74.5408,places_visit/193.json
Bhavani,11.4471,77.684,places_visit/194.json
Bhavnagar,21.7645,72.1519,places_visit/195.json
Bhawanipatna,19.9074,83.1642,places_visit/196.json
Bhilai,21.1938,81.3509,places_visit/197.json
Bhilwara,25.3407,74.6313,places_visit/198.json
