City,Latitude,Longitude,Hotels,Places_to_visit,hotel_process,new_file_paths,hotel_final
Amravati,16.5131,80.5165,hotels/51.json,,51_short.json,hotels/preprocessed_51_short.json,hotels/preprocessed_51_short.json
Ambur,12.7802,78.7177,hotels/52.json,,52_short.json,hotels/preprocessed_52_short.json,hotels/preprocessed_52_short.json
Amboli,15.9647,74.0036,hotels/53.json,,53_short.json,hotels/preprocessed_53_short.json,hotels/preprocessed_53_short.json
Amritsar,31.634,74.8723,hotels/54.json,,54_short.json,hotels/preprocessed_54_short.json,hotels/preprocessed_54_short.json
Amreli,21.6015,71.2204,hotels/55.json,,55_short.json,hotels/preprocessed_55_short.json,hotels/preprocessed_55_short.json
Anandpur Sahib,31.2355,76.5013,hotels/56.json,,56_short.json,hotels/preprocessed_56_short.json,hotels/preprocessed_56_short.json
Anakulam,10.1592,76.9139,hotels/57.json,,57_short.json,hotels/preprocessed_57_short.json,hotels/preprocessed_57_short.json
Anand,22.5645,72.9289,hotels/58.json,,58_short.json,hotels/preprocessed_58_short.json,hotels/preprocessed_58_short.json
Vallabh Vidyanagar,22.5459,72.9294,hotels/59.json,,59_short.json,hotels/preprocessed_59_short.json,hotels/preprocessed_59_short.json
Anantapur,14.6819,77.6006,hotels/60.json,,60_short.json,hotels/preprocessed_60_short.json,hotels/preprocessed_60_short.json
Anantnag,33.7311,75.1487,hotels/61.json,,61_short.json,hotels/preprocessed_61_short.json,hotels/preprocessed_61_short.json
Anaviratty,10.0172,76.9917,hotels/62.json,,62_short.json,hotels/preprocessed_62_short.json,hotels/preprocessed_62_short.json
Andhakaranazhy,9.7081,76.4107,hotels/63.json,,63_short.json,hotels/preprocessed_63_short.json,hotels/preprocessed_63_short.json
Andanallur,10.8736,78.5981,hotels/64.json,,64_short.json,hotels/preprocessed_64_short.json,hotels/preprocessed_64_short.json
Angul,20.8444,85.1511,hotels/65.json,,65_short.json,hotels/preprocessed_65_short.json,hotels/preprocessed_65_short.json
Anchal,8.93,76.9065,hotels/66.json,,66_short.json,hotels/preprocessed_66_short.json,hotels/preprocessed_66_short.json
Andretta,32.0401,76.5676,hotels/67.json,,67_short.json,hotels/preprocessed_67_short.json,hotels/preprocessed_67_short.json
Anjarle,17.8568,73.0966,hotels/68.json,,68_short.json,hotels/preprocessed_68_short.json,hotels/preprocessed_68_short.json
Anjanvel,17.5537,73.1674,hotels/69.json,,69_short.json,hotels/preprocessed_69_short.json,hotels/preprocessed_69_short.json
Anjar,23.1167,70.0281,hotels/70.json,,70_short.json,hotels/preprocessed_70_short.json,hotels/preprocessed_70_short.json
Annavaram,17.2789,82.4013,hotels/71.json,,71_short.json,hotels/preprocessed_71_short.json,hotels/preprocessed_71_short.json
Ankleshwar,21.6264,73.0152,hotels/72.json,,72_short.json,hotels/preprocessed_72_short.json,hotels/preprocessed_72_short.json
Ankola,14.6653,74.3001,hotels/73.json,,73_short.json,hotels/preprocessed_73_short.json,hotels/preprocessed_73_short.json
Antarvedi,16.3227,81.7303,hotels/74.json,,74_short.json,hotels/preprocessed_74_short.json,hotels/preprocessed_74_short.json
